, ,scp41, , , ,scp51, , , ,scp61, , , ,scpa1, , , ,scpb1, , , ,scpnre1, , , ,scpnrf1, , , 
experiment ,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD,best, avg. , std-dev, RPD 
SCA S2-COM_SINE,11204.0,11936.516,357.403,2511.655,23834.0,25033.323,618.07,9320.553,91.77,11489.347,2116.028,-33.5,36729.0,38182.581,736.643,14417.391,36477.0,37958.097,696.549,52765.217,63143.0,65128.903,959.49,217634.483,61991.0,63452.71,815.237,442692.857 
SCA S2-COM_SINGER,5887.0,6699.806,273.802,1272.261,12865.0,14081.387,524.099,4984.98,5852.0,6587.581,326.072,4140.58,20536.0,21696.677,545.245,8016.996,20356.0,21681.097,591.822,29401.449,34764.0,37684.935,1312.768,119775.862,33893.0,36633.097,970.257,241992.857 
SCA S2-COM_SINU,1144.0,1616.0,99.953,166.667,2445.0,3084.29,288.268,866.403,780.0,1337.032,140.578,465.217,3715.0,4601.194,485.094,1368.379,3533.0,4347.323,368.91,5020.29,6511.0,7484.935,540.325,22351.724,6448.0,7502.677,633.548,45957.143 
SCA S2-COM_TENT,9501.0,10776.903,514.56,2114.685,21385.0,22758.871,551.183,8352.569,9828.0,10724.516,501.319,7021.739,33955.0,35266.032,747.057,13320.949,33823.0,35353.935,732.661,48918.841,58466.0,60731.226,870.292,201506.897,56062.0,58958.774,1080.639,400342.857 
SCA S2-COM_CIRCLE,12445.0,13192.935,402.855,2800.932,23592.0,24891.613,656.004,9224.901,12212.0,13270.129,330.486,8749.275,31589.0,41478.806,1905.6,12385.771,39811.0,41727.774,785.723,57597.101,63233.0,70737.806,2283.844,217944.828,56594.0,68200.323,3149.194,404142.857 
SCA S2-ELIT,433.0,433.774,1.58,0.932,259.0,267.129,1.621,2.372,141.0,143.452,1.757,2.174,257.0,257.161,0.883,1.581,69.0,69.548,0.797,0.0,29.0,29.032,0.177,0.0,14.0,14.032,0.177,0.0 
SCA S2-ELIT_LOG,431.0,434.097,1.89,0.466,267.0,267.226,0.418,5.534,141.0,143.097,1.82,2.174,256.0,257.0,0.254,1.186,69.0,69.129,0.421,0.0,29.0,29.0,0.0,0.0,14.0,14.097,0.296,0.0 
SCA S2-ELIT_PIECE,433.0,433.774,1.58,0.932,266.0,267.323,0.59,5.138,141.0,143.645,1.536,2.174,256.0,256.968,0.177,1.186,69.0,69.548,0.874,0.0,29.0,29.065,0.246,0.0,14.0,14.161,0.368,0.0 
SCA S2-ELIT_SINE,433.0,434.161,1.816,0.932,267.0,267.613,1.21,5.534,141.0,142.839,1.743,2.174,257.0,257.032,0.177,1.581,69.0,69.419,0.794,0.0,29.0,29.129,0.335,0.0,14.0,14.0,0.0,0.0 
SCA S2-ELIT_SINGER,433.0,434.387,1.183,0.932,265.0,267.323,0.778,4.743,141.0,142.29,1.817,2.174,257.0,257.839,1.167,1.581,69.0,69.226,0.551,0.0,29.0,29.0,0.0,0.0,14.0,14.0,0.0,0.0 
SCA S2-ELIT_SINU,433.0,433.419,0.493,0.932,267.0,267.29,0.454,5.534,141.0,142.161,1.725,2.174,257.0,258.355,1.002,1.581,69.0,69.194,0.534,0.0,29.0,29.0,0.0,0.0,14.0,14.0,0.0,0.0 
SCA S2-ELIT_TENT,433.0,434.161,1.816,0.932,267.0,267.323,0.532,5.534,141.0,143.645,1.617,2.174,257.0,257.0,0.0,1.581,69.0,69.516,0.798,0.0,29.0,29.065,0.246,0.0,14.0,14.161,0.368,0.0 
SCA S2-ELIT_CIRCLE,433.0,435.129,3.696,0.932,267.0,269.516,2.34,5.534,141.0,144.806,2.131,2.174,257.0,258.29,1.549,1.581,70.0,71.871,0.975,1.449,29.0,29.129,0.421,0.0,14.0,14.581,0.493,0.0 
