, ,knapPI_1_1000_1000_1, , ,knapPI_1_100_1000_1, , ,knapPI_1_2000_1000_1, , ,knapPI_1_200_1000_1, , ,knapPI_1_500_1000_1, , ,knapPI_2_1000_1000_1, , ,knapPI_2_100_1000_1, , ,knapPI_2_2000_1000_1, , ,knapPI_2_200_1000_1, , ,knapPI_2_500_1000_1, , ,knapPI_3_1000_1000_1, , ,knapPI_3_100_1000_1, , ,knapPI_3_2000_1000_1, , ,knapPI_3_200_1000_1, , ,knapPI_3_500_1000_1, , 
experiment ,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD,best, avg. , RPD 
WOA S2-COM_TENT,49743.0,48183.645,8.733,9147.0,9147.0,0.0,95027.0,91353.129,14.1,11238.0,11237.645,0.0,28173.0,27497.774,2.37,8944.0,8746.258,1.193,1512.0,1512.0,0.132,17092.0,16850.774,5.313,1634.0,1634.0,0.0,4555.0,4507.581,0.241,13366.0,13131.194,7.116,2397.0,2396.968,0.0,25715.0,25332.645,11.079,2697.0,2697.0,0.0,6901.0,6788.194,3.035 
WOA S2-COM_CIRCLE,50372.0,49047.355,7.579,9147.0,9147.0,0.0,95741.0,92354.161,13.454,11238.0,11233.742,0.0,28247.0,27596.935,2.114,8879.0,8778.226,1.911,1512.0,1512.0,0.132,17083.0,16874.71,5.363,1634.0,1633.548,0.0,4551.0,4507.581,0.329,13985.0,13426.806,2.814,2397.0,2396.968,0.0,25815.0,25367.129,10.733,2697.0,2697.0,0.0,6998.0,6816.0,1.672 
WOA S2-ELIT,48421.0,46461.742,11.159,9147.0,8855.355,0.0,93971.0,90895.742,15.054,11238.0,10900.387,0.0,27670.0,26169.129,4.113,8720.0,8592.29,3.668,1512.0,1499.548,0.132,16969.0,16727.032,5.994,1634.0,1617.065,0.0,4509.0,4402.355,1.248,13385.0,12983.839,6.984,2396.0,2313.226,0.042,26418.0,25331.742,8.648,2697.0,2657.032,0.0,6904.0,6681.935,2.993 
WOA S2-ELIT_LOG,48497.0,46619.903,11.02,9147.0,8930.355,0.0,94071.0,90695.968,14.964,11238.0,10874.161,0.0,28187.0,26043.774,2.322,8677.0,8571.258,4.143,1512.0,1498.484,0.132,16990.0,16759.129,5.878,1633.0,1615.129,0.061,4526.0,4418.613,0.876,13482.0,13058.968,6.31,2390.0,2322.226,0.292,25809.0,25297.194,10.754,2694.0,2626.774,0.111,6908.0,6671.097,2.937 
WOA S2-ELIT_PIECE,49052.0,46461.161,10.001,9147.0,8971.774,0.0,94861.0,90753.613,14.25,11238.0,10862.226,0.0,27241.0,25960.355,5.6,8748.0,8592.935,3.358,1512.0,1495.161,0.132,17039.0,16728.516,5.606,1634.0,1617.161,0.0,4472.0,4400.323,2.059,13283.0,13043.839,7.693,2396.0,2312.387,0.042,25818.0,25361.548,10.723,2697.0,2639.0,0.0,6816.0,6660.097,4.229 
WOA S2-ELIT_SINE,48976.0,46446.516,10.141,9147.0,8925.742,0.0,93616.0,90590.871,15.375,11227.0,10839.29,0.098,27318.0,25972.29,5.333,8734.0,8589.516,3.513,1512.0,1499.161,0.132,17009.0,16753.613,5.773,1634.0,1617.323,0.0,4507.0,4398.548,1.292,13284.0,13009.484,7.686,2396.0,2309.226,0.042,26011.0,25300.258,10.056,2697.0,2642.065,0.0,7016.0,6664.806,1.419 
WOA S2-ELIT_SINGER,49767.0,46828.258,8.689,9147.0,8886.419,0.0,95689.0,90577.935,13.501,11238.0,10919.548,0.0,27655.0,25919.452,4.165,8737.0,8577.903,3.48,1512.0,1498.516,0.132,16957.0,16700.935,6.061,1633.0,1616.935,0.061,4535.0,4414.355,0.679,13289.0,12997.258,7.651,2397.0,2313.194,0.0,26010.0,25305.419,10.059,2697.0,2659.355,0.0,6815.0,6666.581,4.243 
WOA S2-ELIT_SINU,47838.0,46475.677,12.229,9147.0,8912.452,0.0,93962.0,90689.613,15.063,11223.0,10896.516,0.133,27717.0,26085.613,3.951,8732.0,8570.419,3.535,1512.0,1498.161,0.132,17135.0,16696.968,5.075,1634.0,1613.613,0.0,4486.0,4399.161,1.752,13484.0,13036.645,6.296,2397.0,2306.839,0.0,25611.0,25230.226,11.439,2697.0,2648.387,0.0,6808.0,6666.968,4.342 
WOA S2-ELIT_TENT,49784.0,47014.29,8.658,9147.0,8876.065,0.0,94309.0,90461.419,14.749,11238.0,10782.806,0.0,27442.0,26103.839,4.903,8802.0,8590.774,2.762,1512.0,1495.903,0.132,16990.0,16707.387,5.878,1634.0,1617.0,0.0,4508.0,4410.71,1.27,13482.0,13055.194,6.31,2390.0,2326.903,0.292,25910.0,25360.452,10.405,2697.0,2658.355,0.0,6908.0,6653.355,2.937 
WOA S2-ELIT_CIRCLE,49289.0,46553.29,9.566,9147.0,8863.613,0.0,93525.0,90443.548,15.458,11227.0,10790.129,0.098,27296.0,26013.194,5.409,8780.0,8597.194,3.005,1512.0,1497.645,0.132,17124.0,16765.419,5.135,1634.0,1621.032,0.0,4473.0,4402.774,2.037,13380.0,13045.323,7.019,2397.0,2305.677,0.0,26013.0,25284.032,10.049,2695.0,2628.258,0.074,6914.0,6663.935,2.852 
